연도,팀,slg,sb,total_bb,pitch_bb,pitch_so,ra,W,,
6,1,0.354,71.8,330,439,625,574,Loss,,
6,2,0.38,60.2,442,373,760,475,Win,,
7,1,0.374,73.9,431,514,630,600,Loss,,
7,2,0.376,69.6,506,451,741,481,Win,,
8,1,0.353,71.2,364,480,631,646,Loss,,
8,2,0.395,79.5,463,519,723,595,Win,,
9,1,0.413,75,552,585,777,763,Win,,
9,2,0.426,77.5,498,569,908,805,Loss,,
10,1,0.411,75.1,486,560,793,746,Win,,
10,2,0.359,63.4,497,551,806,763,Loss,,
12,1,0.354,71.1,458,422,735,580,Win,,
12,2,0.351,66.9,538,488,936,647,Loss,,
13,1,0.348,66.2,451,406,822,510,Win,,
13,2,0.348,58.8,479,532,822,711,Loss,,
14,1,0.415,62.1,524,419,810,643,Win,,
14,2,0.415,63.1,490,537,748,889,Loss,,
15,1,0.399,64.6,462,490,1063,721,Loss,,
15,2,0.404,63,581,648,920,800,Win,,
16,1,0.417,63.4,523,539,909,807,Win,,
16,2,0.431,62.7,510,634,976,908,Loss,,
17,1,0.4,57.9,438,379,1040,677,Win,,
17,2,0.435,59.3,416,446,914,820,Loss,,
18,1,0.445,65.1,418,453,1058,816,Loss,,
18,2,0.422,64.8,420,472,1124,761,Win,,
19,1,0.378,69.7,434,499,953,633,Win,,
19,2,0.362,67.3,441,526,934,737,Loss,,
20,1,0.428,68,509,493,1019,694,Win,,
20,2,0.338,58.6,462,609,1019,820,Loss,,
21,1,0.368,73,592,545,1068,561,Win,,
21,2,0.341,66.1,633,673,1011,739,Loss,,
22,1,0.396,68.9,501,451,1031,521,Win,,
22,2,0.352,65.5,497,602,974,759,Loss,,
23,1,0.394,62.2,583,491,977,610,Win,,
23,2,0.35,75.3,535,518,1037,708,Loss,,
24,1,0.414,68.4,616,529,1082,728,Win,,
24,2,0.398,62.7,530,511,1130,780,Loss,,
25,1,0.409,71.2,604,491,1080,584,Win,,
25,2,0.395,72.7,439,450,1339,554,Loss,,
