ra,slg,total_bb,pitch_so,pitch_bb,sb,Win_Loss
574,0.354,330,625,439,71.8,Loss
475,0.38,442,760,373,60.2,Win
600,0.374,431,630,514,73.9,Loss
481,0.376,506,741,451,69.6,Win
646,0.353,364,631,480,71.2,Loss
595,0.395,463,723,519,79.5,Win
763,0.413,552,777,585,75,Win
805,0.426,498,908,569,77.5,Loss
746,0.411,486,793,560,75.1,Win
763,0.359,497,806,551,63.4,Loss
580,0.354,458,735,422,71.1,Win
647,0.351,538,936,488,66.9,Loss
510,0.348,451,822,406,66.2,Win
711,0.348,479,822,532,58.8,Loss
643,0.415,524,810,419,62.1,Win
889,0.415,490,748,537,63.1,Loss
721,0.399,462,1063,490,64.6,Loss
800,0.404,581,920,648,63,Win
807,0.417,523,909,539,63.4,Win
908,0.431,510,976,634,62.7,Loss
677,0.4,438,1040,379,57.9,Win
820,0.435,416,914,446,59.3,Loss
816,0.445,418,1058,453,65.1,Loss
761,0.422,420,1124,472,64.8,Win
633,0.378,434,953,499,69.7,Win
737,0.362,441,934,526,67.3,Loss
694,0.428,509,1019,493,68,Win
820,0.338,462,1019,609,58.6,Loss
561,0.368,592,1068,545,73,Win
739,0.341,633,1011,673,66.1,Loss
521,0.396,501,1031,451,68.9,Win
759,0.352,497,974,602,65.5,Loss
610,0.394,583,977,491,62.2,Win
708,0.35,535,1037,518,75.3,Loss
728,0.414,616,1082,529,68.4,Win
780,0.398,530,1130,511,62.7,Loss
584,0.409,604,1080,491,71.2,Win
554,0.395,439,1339,450,72.7,Loss
